text,language,label,category,source
"Dear customer, Reminder: your LPG cylinder booking is confirmed.. Delivery within 2 working days.. Pay only to the delivery person..",en,legitimate,legitimate,synthetic_template
"Sir job confirm aagiduchu, registration fee Rs 499 pay pannunga, 7012345678 ku call pannunga Team",ta,scam,impersonation,synthetic_tanglish
Your mobile number is selected in Coca Cola lucky draw. Prize Rs 1 Crore. Contact WhatsApp 7012345678,en,scam,lottery,synthetic_template
"SBI: Rs.1,250 credited to your account on 03-06-26 by NEFT. Avl bal Rs.12,400.",en,legitimate,legitimate,synthetic_template
நாளை கனமழை காரணமாக பள்ளிக்கு விடுமுறை. திங்கள் அன்று வகுப்புகள் தொடங்கும்.,ta,legitimate,legitimate,synthetic_template
Reminder: your LPG cylinder booking is confirmed. Delivery within 2 working days. Pay only to the delivery person. Team,en,legitimate,legitimate,synthetic_template
"Bitcoin investment scheme approved by RBI. Minimum Rs 10,000, daily profit credited. Register http://sbi-kyc-update.xyz/verify",en,scam,investment,synthetic_template
"வீட்டிலிருந்து வேலை. தினமும் ரூ 4,999 சம்பாதிக்கலாம். பதிவு கட்டணம் ரூ 499 செலுத்தவும். தொடர்பு 8123456789",ta,scam,job,synthetic_template
"112233 is your OTP for PNB login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
"Dear customer, the branch will be closed on 26-01-2026 for the public holiday. Normal banking resumes the next working day. Team",en,legitimate,legitimate,synthetic_template
"KOTAK: RS..499 CREDITED TO YOUR ACCOUNT ON 03-06-26 BY NEFT.. AVL BAL RS..12,400..",en,legitimate,legitimate,synthetic_template
"Your mobile recharge of Rs..50,000 is successful.. Validity 28 days.. Thank you..",en,legitimate,legitimate,synthetic_template
Your bus pass renewal is complete. Collect it from the depot counter with your old pass. Act fast!,en,legitimate,legitimate,synthetic_template
"Rs.50,000 debited from A/c XX4412 on 12-05-26. Avl Bal Rs.8,330. Not you? Call 18001234. Do not share OTP with anyone. Team",en,legitimate,legitimate,synthetic_template
"Your gas subsidy is pending. Update bank account at http://icici-netbank.click/auth to receive Rs 50,000.",en,scam,impersonation,synthetic_template
மாதம் 30% உறுதியான லாபம். ரூ 499 முதலீடு செய்து 15 நாளில் இரட்டிப்பு பெறுங்கள். http://bit.ly/3kycupd,ta,scam,investment,synthetic_template
Your blood donation camp registration is confirmed for Sunday 9 AM at the community hall..,en,legitimate,legitimate,synthetic_template
Instant loan without CIBIL check. Get money in 10 minutes. Apply http://epfo-claim-online.work/pf,en,scam,loan,synthetic_template
"Accept the payment request on Paytm to receive cashback of Rs 4,999. Enter PIN to confirm.",en,scam,banking,synthetic_template
"Your mobile number is selected in Coca Cola lucky draw.. Prize Rs 25,00,000.. Contact WhatsApp 7012345678",en,scam,lottery,synthetic_template
"ரூ 2,500 பற்று வைக்கப்பட்டது. நீங்கள் செய்யவில்லை என்றால் 6383991122 ஐ உடனே அழைக்கவும். Thank you.",ta,scam,banking,synthetic_template
"Thank you for your payment of Rs.25,000. Receipt number 88213. This is a system generated message.",en,legitimate,legitimate,synthetic_template
"நான் CBI அதிகாரி. உங்கள் ஆதார் பணமோசடி வழக்கில் உள்ளது. இது டிஜிட்டல் கைது, வீடியோ அழைப்பில் இருங்கள். Team",ta,scam,digital_arrest,synthetic_template
Important: உங்கள் பேருந்து பாஸ் புதுப்பிக்கப்பட்டது. பழைய பாஸுடன் டிப்போவில் பெற்றுக் கொள்ளவும்.,ta,legitimate,legitimate,synthetic_template
Dear consumer your electricity will be disconnected tonight 9:30 pm because previous month bill not updated. Contact electricity officer 8123456789,en,scam,impersonation,synthetic_template
"483920 IS YOUR OTP FOR AXIS BANK LOGIN. VALID FOR 10 MINUTES. DO NOT SHARE THIS OTP WITH ANYONE, INCLUDING BANK STAFF.",en,legitimate,legitimate,synthetic_template
உங்கள் உதவித்தொகை விண்ணப்பம் கல்லூரி அலுவலகத்தில் பெறப்பட்டது.. முடிவுகள் அறிவிப்பு பலகையில் இடம்பெறும்..,ta,legitimate,legitimate,synthetic_template
"907845 IS YOUR OTP FOR PNB LOGIN. VALID FOR 10 MINUTES. DO NOT SHARE THIS OTP WITH ANYONE, INCLUDING BANK STAFF.",en,legitimate,legitimate,synthetic_template
"உங்கள் ரீசார்ஜ் ரூ.2,500 வெற்றிகரமாக முடிந்தது. 28 நாட்கள் செல்லுபடியாகும்.",ta,legitimate,legitimate,synthetic_template
YOUR REQUEST FOR A NEW CHEQUEBOOK HAS BEEN REGISTERED. IT WILL REACH YOU IN 7 WORKING DAYS.,en,legitimate,legitimate,synthetic_template
Kotak alert: Aadhaar not linked with account. Re-verify KYC at http://paytm-cashback.buzz/claim before tonight. Thank you.,en,scam,kyc,synthetic_template
"Your insurance premium of Rs.25,000 is due on 28-05-2026. Pay via the official portal or your agent. Thank you.",en,legitimate,legitimate,synthetic_template
We are calling from HDFC Bank card division. To upgrade your card kindly tell the OTP sent just now.,en,scam,otp,synthetic_template
"Your loan of Rs 25,000 is sanctioned. Pay insurance charge Rs 1500 to release amount.",en,scam,loan,synthetic_template
"Dear customer, your electricity bill of Rs..50,000 for May is due on 20-05-2026.. Pay through the official app or nearest office..",en,legitimate,legitimate,synthetic_template
Your ration card e-KYC has been completed successfully at the fair price shop. No further action needed.,en,legitimate,legitimate,synthetic_template
We are calling from HDFC Bank card division.. To upgrade your card kindly tell the OTP sent just now..,en,scam,otp,synthetic_template
"Rs.4,999 debited from A/c XX4412 on 12-05-26. Avl Bal Rs.8,330. Not you? Call 18001234. Do not share OTP with anyone.",en,legitimate,legitimate,synthetic_template
"Dear customer, your electricity bill of Rs.499 for May is due on 20-05-2026. Pay through the official app or nearest office.",en,legitimate,legitimate,synthetic_template
Important: உங்கள் Canara Bank கணக்கு இன்று முடக்கப்படும். http://sbi-kyc-update.xyz/verify சென்று PAN புதுப்பிக்கவும்.,ta,scam,banking,synthetic_template
Your ration card e-KYC has been completed successfully at the fair price shop. No further action needed. Team,en,legitimate,legitimate,synthetic_template
சைபர் பாதுகாப்பு பயிற்சியை முடித்ததற்கு வாழ்த்துக்கள்.. உங்கள் சான்றிதழ் தயாராக உள்ளது..,ta,legitimate,legitimate,synthetic_template
"YOUR CONSIGNMENT IS SEIZED. CLEARANCE FEE RS 25,000 REQUIRED. CONTACT 9876543210",en,scam,courier_parcel,synthetic_template
உங்கள் ரேஷன் அட்டை e-KYC நியாய விலைக் கடையில் முடிக்கப்பட்டது. வேறு நடவடிக்கை தேவையில்லை. Thank you.,ta,legitimate,legitimate,synthetic_template
Your gas cylinder has been booked. Booking ID 7781234. Delivery in 2 working days. Regards.,en,legitimate,legitimate,synthetic_template
"Attention! Beneficiary added successfully to your account. If this was not done by you, contact your branch immediately.",en,legitimate,legitimate,synthetic_template
"வாழ்த்துக்கள்! KBC லக்கி டிராவில் ரூ 25,00,000 பரிசு வென்றுள்ளீர்கள். 7012345678 ஐ அழைக்கவும்.",ta,scam,lottery,synthetic_template
உங்கள் உதவித்தொகை விண்ணப்பம் கல்லூரி அலுவலகத்தில் பெறப்பட்டது. முடிவுகள் அறிவிப்பு பலகையில் இடம்பெறும்.,ta,legitimate,legitimate,synthetic_template
Important: Your parcel has been delivered and received by the security guard at your address.,en,legitimate,legitimate,synthetic_template
"Dear parent, the school will remain closed tomorrow due to heavy rain. Classes resume on Monday.",en,legitimate,legitimate,synthetic_template
Your appointment at the government hospital is confirmed for 15-05-2026 at 10:30 AM. Please bring your ID card.,en,legitimate,legitimate,synthetic_template
உங்கள் பார்சல் சுங்கத்தில் தடுத்து வைக்கப்பட்டுள்ளது. சட்டவிரோத பொருட்கள் உள்ளன. உடனே 6383991122 அழைக்கவும்.,ta,scam,courier_parcel,synthetic_template
"KOTAK: RS.10,000 CREDITED TO YOUR ACCOUNT ON 03-06-26 BY NEFT. AVL BAL RS.12,400.",en,legitimate,legitimate,synthetic_template
"உங்கள் FACEBOOK பக்கம் விதிமுறை மீறல். 24 மணி நேரத்தில் HTTP://SBI-KYC-UPDATE.XYZ/VERIFY சரிபார்க்கவும், இல்லையெனில் நீக்கப்படும்.",ta,scam,social_media,synthetic_template
"Your cheque number 445122 for Rs.1,250 has been cleared on 14-05-2026.",en,legitimate,legitimate,synthetic_template
பகுதி நேர வேலை உள்ளது. வீடியோ லைக் செய்து தினமும் ரூ 500 பெறலாம். ஜாயின் 9876543210,ta,scam,job,synthetic_template
EB notice: immediate disconnection at 9 pm. Update payment at http://irctc-refund.cyou/ticket Act fast!,en,scam,electricity_bill,synthetic_template
"Rs.25,000 debited from A/c XX4412 on 12-05-26. Avl Bal Rs.8,330. Not you? Call 18001234. Do not share OTP with anyone.",en,legitimate,legitimate,synthetic_template
Your net banking password expires today. Confirm your card number and CVV at http://rbi-verify-account.icu/form.,en,scam,banking,synthetic_template
"Important: Your number won the Diwali bumper prize of Rs 50,00,000.. Pay GST of Rs 499 to release the amount..",en,scam,lottery,synthetic_template
உங்கள் மின்சாரம் இன்றிரவு துண்டிக்கப்படும். கட்டணம் புதுப்பிக்கப்படவில்லை. அலுவலர் 9876543210 ஐ தொடர்பு கொள்ளவும்.,ta,scam,electricity_bill,synthetic_template
YOUR MONTHLY STATEMENT FOR A/C XX4412 IS READY. VIEW IT BY LOGGING INTO THE OFFICIAL SBI NET BANKING PORTAL.,en,legitimate,legitimate,synthetic_template
நான் ராணுவ அதிகாரி.. இடமாற்றம் ஆகிவிட்டது.. முன்பணம் ரூ 999 அனுப்புங்கள்..,ta,scam,impersonation,synthetic_template
"Parcel customs la hold aagiduchu, illegal item irukku, udane 7012345678 ku call pannunga",ta,scam,impersonation,synthetic_tanglish
"வாழ்த்துக்கள்! KBC லக்கி டிராவில் ரூ 25,00,000 பரிசு வென்றுள்ளீர்கள். 9445566778 ஐ அழைக்கவும்.",ta,scam,lottery,synthetic_template
Amazon hiring work from home. Daily payout. Security deposit Rs 1500 refundable. Apply http://bit.ly/3kycupd,en,scam,job,synthetic_template
உங்கள் சிலிண்டர் பதிவு எண் 7781234. இரண்டு வேலை நாட்களில் வழங்கப்படும்.,ta,legitimate,legitimate,synthetic_template
URGENT: PhonePe KYC pending. Complete now at http://192.168.44.9/bank/login or wallet will be frozen today.,en,scam,kyc,synthetic_template
Your resume is shortlisted for MNC. Interview fee Rs 999 payable to confirm slot. Call 8123456789 Regards.,en,scam,job,synthetic_template
"220199 IS YOUR OTP FOR CANARA BANK LOGIN. VALID FOR 10 MINUTES. DO NOT SHARE THIS OTP WITH ANYONE, INCLUDING BANK STAFF.",en,legitimate,legitimate,synthetic_template
உங்கள் மின் இணைப்பு இன்றிரவு துண்டிக்கப்படும். முந்தைய மாத கட்டணம் புதுப்பிக்கப்படவில்லை. அலுவலர் 7012345678,ta,scam,impersonation,synthetic_template
"உங்கள் எண் தேர்வாகியுள்ளது. பரிசு ரூ 10,00,000. வங்கி விவரங்களை அனுப்பவும்.",ta,scam,lottery,synthetic_template
"சைபர் காவல்துறை. உங்கள் மீது வழக்கு பதிவு. வீடியோ அழைப்பில் இணையுங்கள், யாரிடமும் சொல்லாதீர்கள்.",ta,scam,digital_arrest,synthetic_template
"Dear customer, Stock market tips group. 100% assured profit. Limited seats. Contact expert 7012345678",en,scam,investment,synthetic_template
Dear customer your Union Bank KYC has expired. Account will be blocked within 24 hours. Click http://icici-netbank.click/auth to update.,en,scam,kyc,synthetic_template
நாளை கனமழை காரணமாக பள்ளிக்கு விடுமுறை. திங்கள் அன்று வகுப்புகள் தொடங்கும். Regards.,ta,legitimate,legitimate,synthetic_template
நாளை கனமழை காரணமாக பள்ளிக்கு விடுமுறை. திங்கள் அன்று வகுப்புகள் தொடங்கும். Act fast!,ta,legitimate,legitimate,synthetic_template
"Rs.999 debit aagiduchu account XX4412 la, balance Rs.8,330, OTP yaarukum share pannadheenga",ta,legitimate,legitimate,synthetic_tanglish
ICICI Bank alert: Aadhaar not linked with account. Re-verify KYC at http://tinyurl.com/kyc-updt before tonight.,en,scam,kyc,synthetic_template
Important: Your Facebook page violates copyright. Verify within 24 hours at http://epfo-claim-online.work/pf or page will be deleted.,en,scam,social_media,synthetic_template
"112233 is your OTP for SBI login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
"907845 is your OTP for Kotak login. Valid for 10 minutes. Do not share this OTP with anyone, including bank staff.",en,legitimate,legitimate,synthetic_template
அரசு மருத்துவமனையில் உங்கள் சந்திப்பு 15-05-2026 காலை 10:30 மணிக்கு உறுதி செய்யப்பட்டது..,ta,legitimate,legitimate,synthetic_template
"Dear customer, your Kotak account needs verification. Share the OTP 112233 received on your mobile to complete the process.",en,scam,otp,synthetic_template
"Mummy my phone is broken, this is my new number. Send Rs 499 to this GPay urgently.",en,scam,impersonation,synthetic_template
உங்கள் சிலிண்டர் பதிவு உறுதியானது. 2 வேலை நாட்களில் வழங்கப்படும். டெலிவரி நபரிடம் மட்டும் பணம் தரவும். Regards.,ta,legitimate,legitimate,synthetic_template
"Canara Bank: Rs.50,000 credited to your account on 03-06-26 by NEFT. Avl bal Rs.12,400. Thank you.",en,legitimate,legitimate,synthetic_template
Your bus pass renewal is complete. Collect it from the depot counter with your old pass. Team,en,legitimate,legitimate,synthetic_template
"வீட்டிலிருந்து வேலை. தினமும் ரூ 1,250 சம்பாதிக்கலாம். பதிவு கட்டணம் ரூ 499 செலுத்தவும். தொடர்பு 8123456789",ta,scam,job,synthetic_template
Your monthly statement for A/c XX4412 is ready. View it by logging into the official Kotak net banking portal.,en,legitimate,legitimate,synthetic_template
Your PF passbook has been updated. Login to the official EPFO member portal to view the balance. Thank you.,en,legitimate,legitimate,synthetic_template
Reminder: your LPG cylinder booking is confirmed.. Delivery within 2 working days.. Pay only to the delivery person..,en,legitimate,legitimate,synthetic_template
YOUR FACEBOOK PAGE VIOLATES COPYRIGHT. VERIFY WITHIN 24 HOURS AT HTTP://ICICI-NETBANK.CLICK/AUTH OR PAGE WILL BE DELETED.,en,scam,social_media,synthetic_template
You have been tagged in a post. See photo here http://rbi-verify-account.icu/form,en,scam,social_media,synthetic_template
"Attention! Cylinder booking confirm aagiduchu, 2 days la delivery, delivery person kitta mattum pay pannunga",ta,legitimate,legitimate,synthetic_tanglish
"ரூ.4,999 உங்கள் கணக்கிலிருந்து பற்று வைக்கப்பட்டது. இருப்பு ரூ.8,330. OTP ஐ யாரிடமும் பகிர வேண்டாம்.",ta,legitimate,legitimate,synthetic_template
உங்கள் பணம் ரூ.999 பெறப்பட்டது. ரசீது எண் 88213. இது தானியங்கி செய்தி.,ta,legitimate,legitimate,synthetic_template
"நான் ராணுவ அதிகாரி. இடமாற்றம் ஆகிவிட்டது. முன்பணம் ரூ 50,000 அனுப்புங்கள்.",ta,scam,impersonation,synthetic_template
Your bus pass renewal is complete.. Collect it from the depot counter with your old pass..,en,legitimate,legitimate,synthetic_template
"Your number won the Diwali bumper prize of Rs 50,00,000. Pay GST of Rs 25,000 to release the amount.",en,scam,lottery,synthetic_template
"Data entry job, no experience needed. Earn Rs 50,000 weekly. Registration charge only Rs 750. Thank you.",en,scam,job,synthetic_template
"Dear user, Rs 25,000 debited. If not done by you call 9445566778 immediately.",en,scam,banking,synthetic_template
Important: Your electricity meter reading was taken today. The bill will be delivered within 3 days.,en,legitimate,legitimate,synthetic_template
We are calling from ICICI Bank card division. To upgrade your card kindly tell the OTP sent just now.,en,scam,otp,synthetic_template
"Dear user, Rs 999 debited.. If not done by you call 9876543210 immediately..",en,scam,banking,synthetic_template
Important: பங்குச்சந்தை குறிப்புகள் குழு. நிச்சயமான லாபம். இடம் குறைவு. தொடர்பு 7012345678,ta,scam,investment,synthetic_template
